project,street,type,district,segment,tenure,commence,sale,area,price,level,date
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,Resale,624.31,1415935.0799999998,31 to 35,Feb-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 years,2013.0,Resale,1054.87,2299616.5999999996,16 to 20,Feb-24
BISHAN PARK CONDOMINIUM,SIN MING WALK,Condominium,20,RCR,99 years,1991.0,Resale,1474.67,1949513.74,01 to 05,Feb-24
RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 years,2001.0,Resale,1248.62,1479614.7,11 to 15,Feb-24
THE MERASAGA,JALAN MERAH SAGA,Condominium,10,CCR,99 years,1991.0,Resale,1356.26,2750495.28,01 to 05,Feb-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Sub Sale,1237.86,2120454.1799999997,06 to 10,Feb-24
PINETREE HILL,PINE GROVE,Condominium,21,RCR,99 years,2022.0,New Sale,968.76,2408337.36,06 to 10,Feb-24
RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 years,2011.0,Resale,882.65,1188046.9,11 to 15,Feb-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 years,1999.0,Resale,1227.1,2260318.1999999997,01 to 05,Feb-24
THE PATERSON,PATERSON ROAD,Condominium,9,CCR,freehold,,Resale,1420.85,3380202.15,06 to 10,Feb-24
HILLSTA,PHOENIX ROAD,Condominium,23,OCR,99 years,2011.0,Resale,1087.16,1400262.08,11 to 15,Feb-24
ECHELON,ALEXANDRA VIEW,Condominium,3,RCR,99 years,2012.0,Resale,1001.05,1899992.9,01 to 05,Feb-24
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,Apartment,5,RCR,99 years,2005.0,Resale,1313.21,2220638.11,11 to 15,Feb-24
HAWAII TOWER,MEYER ROAD,Condominium,15,RCR,freehold,,Resale,2238.91,4000932.17,06 to 10,Feb-24
AMBER SKYE,AMBER ROAD,Apartment,15,RCR,freehold,,Resale,1334.74,3199371.78,16 to 20,Feb-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1033.34,1987112.82,01 to 05,Feb-24
BELLERIVE,KENG CHIN ROAD,Apartment,10,CCR,freehold,,Resale,1173.28,2500259.68,01 to 05,Feb-24
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 years,2010.0,Resale,1216.33,2319541.31,11 to 15,Feb-24
THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,1065.64,1495092.9200000002,06 to 10,Feb-24
THE INTERWEAVE,KIM KEAT ROAD,Apartment,12,RCR,freehold,,Resale,387.5,690137.5,16 to 20,Feb-24
THE ACACIAS,SOMMERVILLE ROAD,Apartment,13,OCR,freehold,,Resale,1248.62,1760554.2,01 to 05,Feb-24
MEADOWLODGE,CHUN TIN ROAD,Condominium,21,RCR,99 years,1997.0,Resale,1410.08,2060126.88,01 to 05,Feb-24
SUMMERHILL,HUME AVENUE,Condominium,21,OCR,freehold,,Resale,1603.84,2699262.7199999997,01 to 05,Feb-24
LE QUEST,BUKIT BATOK STREET 41,Apartment,23,OCR,99 years,2016.0,Resale,979.52,1599556.16,11 to 15,Feb-24
BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,Condominium,19,OCR,99 years,2011.0,Resale,893.41,1232905.8,01 to 05,Feb-24
PARC KOMO,UPPER CHANGI ROAD NORTH,Apartment,17,OCR,freehold,,Sub Sale,731.95,1379725.75,01 to 05,Feb-24
SENNETT RESIDENCE,PHENG GECK AVENUE,Condominium,13,RCR,99 years,2011.0,Resale,1194.8,2299990.0,06 to 10,Feb-24
WATERTOWN,PUNGGOL CENTRAL,Apartment,19,OCR,99 years,2011.0,Resale,1356.26,2480599.54,01 to 05,Feb-24
SENNETT RESIDENCE,PHENG GECK AVENUE,Condominium,13,RCR,99 years,2011.0,Resale,570.49,1050272.09,11 to 15,Feb-24
WATERTOWN,PUNGGOL CENTRAL,Apartment,19,OCR,99 years,2011.0,Resale,570.49,974967.41,11 to 15,Feb-24
BUTTERWORTH 8,BUTTERWORTH LANE,Condominium,15,RCR,freehold,,Resale,1345.5,2669472.0,11 to 15,Feb-24
CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,freehold,,Resale,839.59,1580108.38,01 to 05,Feb-24
THE GLADES,BEDOK RISE,Condominium,16,OCR,99 years,2013.0,Resale,462.85,787770.7000000001,01 to 05,Feb-24
TWIN REGENCY,KIM TIAN ROAD,Condominium,3,RCR,freehold,,Resale,979.52,2119681.28,11 to 15,Feb-24
ECO SANCTUARY,CHESTNUT AVENUE,Condominium,23,OCR,99 years,2012.0,Resale,699.66,1094967.9,06 to 10,Feb-24
THOMSON EURO-ASIA,THOMSON ROAD,Condominium,11,CCR,freehold,,Resale,1130.22,2608547.76,11 to 15,Feb-24
WATERTOWN,PUNGGOL CENTRAL,Apartment,19,OCR,99 years,2011.0,Resale,602.78,904772.78,01 to 05,Feb-24
EASTERN LAGOON,UPPER EAST COAST ROAD,Condominium,16,OCR,freehold,,Resale,979.52,1599556.16,01 to 05,Feb-24
BURLINGTON SQUARE,BENCOOLEN STREET,Apartment,7,RCR,99 years,1996.0,Resale,839.59,1275337.21,11 to 15,Feb-24
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,1162.51,2199468.92,16 to 20,Feb-24
8 @ MOUNT SOPHIA,MOUNT SOPHIA,Condominium,9,CCR,others,2002.0,Resale,1184.04,1819869.48,06 to 10,Feb-24
SIMSVILLE,GEYLANG EAST AVENUE 2,Condominium,14,RCR,99 years,1994.0,Resale,1248.62,1469625.7399999998,01 to 05,Feb-24
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,409.03,1540406.98,26 to 30,Feb-24
THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 years,1993.0,Resale,979.52,1314515.84,21 to 25,Feb-24
LENTOR HILLS RESIDENCES,LENTOR HILLS ROAD,Apartment,26,OCR,99 years,2022.0,New Sale,1345.5,2763657.0,01 to 05,Feb-24
OUE TWIN PEAKS,LEONIE HILL ROAD,Condominium,9,CCR,99 years,2010.0,Resale,1399.32,3200244.84,21 to 25,Feb-24
THE GLYNDEBOURNE,TREVOSE CRESCENT,Condominium,11,CCR,freehold,,Resale,3562.88,7339532.8,01 to 05,Feb-24
D'WEAVE,LORONG 39 GEYLANG,Apartment,14,RCR,freehold,,Resale,548.96,889864.16,01 to 05,Feb-24
MANDARIN GARDENS,SIGLAP ROAD,Condominium,15,OCR,99 years,1982.0,Resale,1571.54,2179725.98,16 to 20,Feb-24
THE WISTERIA,YISHUN RING ROAD,Apartment,27,OCR,99 years,2015.0,Resale,1173.28,1529957.12,06 to 10,Feb-24
BARTLEY VUE,JALAN BUNGA RAMPAI,Apartment,19,RCR,99 years,2020.0,New Sale,1065.64,1999140.64,01 to 05,Feb-24
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 years,2011.0,Resale,979.52,1750402.24,21 to 25,Feb-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1033.34,1996412.88,01 to 05,Feb-24
THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,1151.75,1539889.75,01 to 05,Feb-24
THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 years,2007.0,Resale,979.52,1380143.68,01 to 05,Feb-24
RIZ HAVEN,JALAN LOYANG BESAR,Apartment,17,OCR,freehold,1938.0,Resale,452.09,619815.39,01 to 05,Feb-24
CHANGI RISE CONDOMINIUM,SIMEI RISE,Condominium,18,OCR,99 years,2000.0,Resale,1130.22,1187861.22,01 to 05,Feb-24
UE SQUARE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,1953.0,Resale,1291.68,2650527.3600000003,01 to 05,Feb-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,Apartment,19,OCR,99 years,2018.0,Sub Sale,1076.4,2100056.4000000004,11 to 15,Feb-24
OASIS @ ELIAS,ELIAS ROAD,Condominium,18,OCR,99 years,2008.0,Resale,979.52,1145058.88,11 to 15,Feb-24
QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 years,2015.0,Resale,861.12,1899630.72,36 to 40,Feb-24
AVA TOWERS,AVA ROAD,Apartment,12,RCR,freehold,,Resale,1227.1,1800155.7,01 to 05,Feb-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 years,2014.0,Resale,753.48,1390170.6,16 to 20,Feb-24
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 years,2010.0,Resale,1356.26,2499587.18,06 to 10,Feb-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,Apartment,19,OCR,99 years,2018.0,Sub Sale,473.62,809890.2,06 to 10,Feb-24
THE LUXURIE,COMPASSVALE ROAD,Condominium,19,OCR,99 years,2011.0,Resale,968.76,1360139.04,01 to 05,Feb-24
VIEW AT KISMIS,LORONG KISMIS,Apartment,21,RCR,99 years,2019.0,Sub Sale,602.78,1135034.74,01 to 05,Feb-24
PARKVIEW APARTMENTS,BUKIT BATOK STREET 25,Apartment,23,OCR,99 years,1994.0,Resale,990.29,949688.11,11 to 15,Feb-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,Apartment,19,OCR,99 years,2018.0,Sub Sale,904.18,1679966.44,06 to 10,Feb-24
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,Sub Sale,753.48,1357770.96,11 to 15,Feb-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,Apartment,2,RCR,freehold,,Resale,387.5,930000.0,21 to 25,Feb-24
THE BEVERLY,TOH TUCK ROAD,Apartment,21,RCR,freehold,,Resale,2023.63,3100201.16,01 to 05,Feb-24
THE MONTAGE,LORONG M TELOK KURAU,Apartment,15,OCR,freehold,,Resale,656.6,1000001.8,01 to 05,Feb-24
RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 years,2011.0,Resale,1065.64,1400250.9600000002,06 to 10,Jan-24
ONE FORT,FORT ROAD,Condominium,15,RCR,freehold,,Resale,1205.57,2500352.1799999997,11 to 15,Jan-24
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,freehold,1885.0,New Sale,936.47,2080836.34,01 to 05,Jan-24
FORTUNE PARK,TAMPINES ROAD,Condominium,19,OCR,freehold,,Resale,1184.04,1450449.0,06 to 10,Jan-24
BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,others,1978.0,Resale,1862.17,1770923.6700000002,01 to 05,Jan-24
COMPASS HEIGHTS,SENGKANG SQUARE,Apartment,19,OCR,99 years,2000.0,Resale,1054.87,1279557.3099999998,06 to 10,Jan-24
THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 years,2007.0,Resale,1506.96,1749580.56,01 to 05,Jan-24
SEAHILL,WEST COAST CRESCENT,Condominium,5,OCR,99 years,2011.0,Resale,624.31,1000144.62,06 to 10,Jan-24
MABELLE,LORONG M TELOK KURAU,Apartment,15,OCR,freehold,,Resale,882.65,1429010.35,01 to 05,Jan-24
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,764.24,2022179.04,31 to 35,Jan-24
MARINA BAY SUITES,CENTRAL BOULEVARD,Condominium,1,CCR,99 years,2007.0,Resale,2680.24,5001327.84,16 to 20,Jan-24
LEEDON GREEN,LEEDON HEIGHTS,Condominium,10,CCR,freehold,,New Sale,538.2,1629131.4,06 to 10,Jan-24
TERRASSE,TERRASSE LANE,Condominium,19,OCR,99 years,2010.0,Resale,753.48,1090285.56,01 to 05,Jan-24
WATTEN HOUSE,SHELFORD ROAD,Condominium,11,CCR,freehold,,New Sale,990.29,3212500.76,01 to 05,Jan-24
LENTOR HILLS RESIDENCES,LENTOR HILLS ROAD,Apartment,26,OCR,99 years,2022.0,New Sale,1356.26,2774907.96,01 to 05,Jan-24
TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 years,1994.0,Resale,1291.68,2269481.76,06 to 10,Jan-24
ESPADA,ST. THOMAS WALK,Apartment,9,CCR,freehold,,Resale,688.9,1629937.4,26 to 30,Jan-24
HILLHAVEN,HILLVIEW RISE,Condominium,23,OCR,99 years,2023.0,New Sale,796.54,1609807.34,06 to 10,Jan-24
BAYSHORE PARK,BAYSHORE ROAD,Condominium,16,OCR,99 years,1982.0,Resale,2238.91,2749381.48,26 to 30,Jan-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,699.66,1595224.7999999998,16 to 20,Jan-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1033.34,1977812.76,01 to 05,Jan-24
THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 years,1997.0,Resale,882.65,1300143.45,06 to 10,Jan-24
HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,freehold,,Resale,1517.72,3299523.2800000003,06 to 10,Jan-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 years,2007.0,Resale,2572.6,6300297.399999999,01 to 05,Jan-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,freehold,,Resale,322.92,684913.3200000001,01 to 05,Jan-24
H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 years,2010.0,Resale,796.54,999657.7,01 to 05,Jan-24
SOMMERVILLE GRANDEUR,FARRER DRIVE,Condominium,10,CCR,freehold,,Resale,1829.88,3800660.76,01 to 05,Jan-24
THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 years,2006.0,Resale,1065.64,1760437.2800000005,06 to 10,Jan-24
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,Sub Sale,667.37,1189920.71,06 to 10,Jan-24
HOUGANG GREEN,BUANGKOK GREEN,Apartment,19,OCR,99 years,1994.0,Resale,764.24,790224.16,01 to 05,Jan-24
SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 years,1991.0,Resale,1388.56,2499408.0,16 to 20,Jan-24
PARC CENTROS,PUNGGOL CENTRAL,Condominium,19,OCR,99 years,2012.0,Resale,1140.98,1739994.5,11 to 15,Jan-24
THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 years,1996.0,Resale,1162.51,1299686.18,11 to 15,Jan-24
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,Condominium,5,RCR,freehold,,Resale,2012.87,2399341.04,01 to 05,Jan-24
THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,1065.64,1459926.8,06 to 10,Jan-24
MAYFAIR RESIDENCES,EAST COAST ROAD,Apartment,15,OCR,freehold,,Resale,1194.8,2279678.4,01 to 05,Jan-24
ORCHID APARTMENTS,ENG NEO AVENUE,Apartment,11,CCR,freehold,,Resale,1356.26,2400580.2,01 to 05,Jan-24
THE BERTH BY THE COVE,OCEAN DRIVE,Condominium,4,CCR,99 years,2004.0,Resale,1625.36,2455918.96,01 to 05,Jan-24
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,Resale,764.24,1637766.32,06 to 10,Jan-24
SHEARES VILLE,HOLT ROAD,Apartment,10,CCR,freehold,,Resale,1399.32,2879800.56,01 to 05,Jan-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,Apartment,19,OCR,99 years,2018.0,Sub Sale,1076.4,1989187.2,01 to 05,Jan-24
ASCENTIA SKY,ALEXANDRA VIEW,Condominium,3,RCR,99 years,2008.0,Resale,1474.67,2939017.31,36 to 40,Jan-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,Apartment,21,RCR,freehold,,Sub Sale,721.19,1689748.1700000002,06 to 10,Jan-24
DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 years,1995.0,Resale,1345.5,2549722.5,01 to 05,Jan-24
THE HILLIER,HILLVIEW RISE,Apartment,23,OCR,99 years,2011.0,Resale,516.67,829772.0199999999,16 to 20,Jan-24
FLO RESIDENCE,PUNGGOL FIELD WALK,Condominium,19,OCR,99 years,2011.0,Resale,925.7,1180267.5,16 to 20,Jan-24
ONE CLAYMORE,CLAYMORE DRIVE,Apartment,9,CCR,freehold,,Resale,1969.81,3218669.54,21 to 25,Jan-24
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 years,2014.0,Resale,1108.69,1549948.62,06 to 10,Jan-24
CASA CAMBIO,LIM TUA TOW ROAD,Condominium,19,OCR,freehold,,Resale,645.84,997822.8,01 to 05,Jan-24
THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 years,2010.0,Resale,1571.54,2550609.42,16 to 20,Jan-24
MAYFAIR MODERN,RIFLE RANGE ROAD,Condominium,21,RCR,99 years,2018.0,Sub Sale,1291.68,2950197.12,01 to 05,Jan-24
10 EVELYN,EVELYN ROAD,Apartment,11,CCR,freehold,,New Sale,742.72,2060305.28,01 to 05,Jan-24
DAINTREE RESIDENCE,TOH TUCK ROAD,Condominium,21,RCR,99 years,2017.0,Resale,742.72,1550056.64,01 to 05,Jan-24
D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,753.48,995347.08,01 to 05,Jan-24
THE VENUE RESIDENCES,TAI THONG CRESCENT,Apartment,13,RCR,99 years,2012.0,Resale,850.36,1550206.28,01 to 05,Jan-24
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,678.13,1910970.34,21 to 25,Jan-24
19 NASSIM,NASSIM HILL,Apartment,10,CCR,99 years,2019.0,New Sale,1733.0,5999646.0,06 to 10,Jan-24
19 NASSIM,NASSIM HILL,Apartment,10,CCR,99 years,2019.0,New Sale,1474.67,5631764.73,06 to 10,Jan-24
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,freehold,1885.0,New Sale,1151.75,2374908.5,11 to 15,Jan-24
LUMIERE,MISTRI ROAD,Apartment,2,CCR,99 years,2006.0,Resale,678.13,1064664.1,21 to 25,Jan-24
EURO-ASIA PARK,WOODLEIGH CLOSE,Condominium,13,RCR,freehold,,Resale,1420.85,2449545.4,01 to 05,Jan-24
THE LUXURIE,COMPASSVALE ROAD,Condominium,19,OCR,99 years,2011.0,Resale,731.95,1119883.5,01 to 05,Jan-24
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,Condominium,23,OCR,99 years,2022.0,New Sale,1270.15,2517437.3000000003,01 to 05,Jan-24
LENTOR MODERN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2021.0,New Sale,968.76,2189397.6,21 to 25,Jan-24
RV ALTITUDE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,,Sub Sale,624.31,1849830.53,06 to 10,Jan-24
CARISSA PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,freehold,,Resale,645.84,787924.8,01 to 05,Jan-24
CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 years,2010.0,Resale,1119.46,1149685.42,01 to 05,Jan-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 years,2018.0,Sub Sale,645.84,1254867.12,01 to 05,Jan-24
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,667.37,1875309.7,11 to 15,Jan-24
THE SHORE RESIDENCES,AMBER ROAD,Condominium,15,RCR,others,2009.0,Resale,914.94,1788707.7000000002,06 to 10,Jan-24
QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 years,2015.0,Resale,775.01,1550020.0,21 to 25,Jan-24
ICON,GOPENG STREET,Apartment,2,CCR,99 years,2002.0,Resale,936.47,1900097.63,36 to 40,Jan-24
DUNMAN VIEW,HAIG ROAD,Condominium,15,RCR,99 years,1997.0,Resale,1173.28,1750533.76,06 to 10,Jan-24
WHISTLER GRAND,WEST COAST VALE,Apartment,5,OCR,99 years,2018.0,Resale,1065.64,2050291.36,26 to 30,Jan-24
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2016.0,Resale,592.02,1179895.86,06 to 10,Jan-24
DAINTREE RESIDENCE,TOH TUCK ROAD,Condominium,21,RCR,99 years,2017.0,Resale,753.48,1549908.36,01 to 05,Jan-24
COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 years,2008.0,Resale,1743.77,2580779.6,11 to 15,Jan-24
HAZEL PARK CONDOMINIUM,HAZEL PARK TERRACE,Condominium,23,OCR,freehold,1882.0,Resale,1377.79,2222375.27,11 to 15,Jan-24
EMERALD GARDEN,CLUB STREET,Condominium,1,RCR,freehold,1827.0,Resale,979.52,2330278.08,11 to 15,Jan-24
THE ESTA,AMBER GARDENS,Condominium,15,RCR,freehold,,Resale,1345.5,3117523.5,11 to 15,Jan-24
PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 years,1991.0,Resale,1227.1,1489699.4,06 to 10,Jan-24
METRO LOFT,LORONG 27 GEYLANG,Apartment,14,RCR,freehold,,Resale,452.09,668189.02,01 to 05,Jan-24
THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,27,OCR,99 years,2010.0,Resale,839.59,999951.69,01 to 05,Jan-24
MAYSPRINGS,PETIR ROAD,Apartment,23,OCR,99 years,1994.0,Resale,818.06,954676.02,11 to 15,Jan-24
PARC SOMME,SOMME ROAD,Apartment,8,RCR,99 years,2008.0,Resale,947.23,1149937.22,06 to 10,Jan-24
PARK COLONIAL,WOODLEIGH LANE,Condominium,13,RCR,99 years,2017.0,Resale,462.85,997904.6,06 to 10,Jan-24
WATERMARK ROBERTSON QUAY,RODYK STREET,Apartment,9,CCR,freehold,,Resale,904.18,2047967.7,06 to 10,Jan-24
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,Condominium,5,OCR,freehold,1885.0,Resale,1367.03,2250131.38,01 to 05,Jan-24
PALM GARDENS,HONG SAN WALK,Condominium,23,OCR,99 years,1996.0,Resale,1216.33,1300256.77,11 to 15,Jan-24
HILLION RESIDENCES,JELEBU ROAD,Apartment,23,OCR,99 years,2013.0,Resale,1162.51,1990217.12,21 to 25,Jan-24
ISUITES @ TANI,JALAN TANI,Apartment,19,OCR,freehold,1883.0,Resale,452.09,683560.08,01 to 05,Jan-24
VERSILIA ON HAIG,IPOH LANE,Condominium,15,RCR,freehold,,Resale,1022.58,1899953.64,16 to 20,Jan-24
HERITAGE EAST,EAST COAST ROAD,Apartment,15,OCR,freehold,,Resale,409.03,724801.1599999999,01 to 05,Jan-24
REGENT GROVE,CHOA CHU KANG NORTH 7,Condominium,23,OCR,99 years,1997.0,Resale,1162.51,1038121.43,11 to 15,Jan-24
THE TRE VER,POTONG PASIR AVENUE 1,Condominium,13,RCR,99 years,2018.0,Sub Sale,1334.74,2430561.54,01 to 05,Jan-24
NEWTON ONE,NEWTON ROAD,Condominium,11,CCR,freehold,,Resale,1216.33,2849861.19,11 to 15,Jan-24
TROPICAL SPRING,SIMEI STREET 4,Condominium,18,OCR,99 years,1997.0,Resale,1528.49,1773048.4,06 to 10,Jan-24
LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years,2015.0,Resale,818.06,1399700.66,01 to 05,Jan-24
ICON,GOPENG STREET,Apartment,2,CCR,99 years,2002.0,Resale,581.26,1129969.44,16 to 20,Jan-24
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,Resale,635.08,1399716.32,11 to 15,Jan-24
CARISSA PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,freehold,,Resale,1323.97,1519917.56,06 to 10,Jan-24
THE QUARTZ,COMPASSVALE BOW,Condominium,19,OCR,99 years,2005.0,Resale,1065.64,1389594.56,01 to 05,Jan-24
GEM RESIDENCES,LORONG 5 TOA PAYOH,Condominium,12,RCR,99 years,2015.0,Sub Sale,570.49,1099904.72,31 to 35,Jan-24
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,1140.98,2957420.16,21 to 25,Jan-24
THE NAVIAN,JALAN EUNOS,Apartment,14,OCR,freehold,,Resale,667.37,1247981.9,01 to 05,Jan-24
EUHABITAT,JALAN EUNOS,Condominium,14,OCR,99 years,2010.0,Resale,904.18,1283031.42,01 to 05,Jan-24
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,688.9,1317176.8,11 to 15,Jan-24
THE LUXURIE,COMPASSVALE ROAD,Condominium,19,OCR,99 years,2011.0,Resale,1011.82,1460056.26,06 to 10,Jan-24
DYNASTY GARDEN,SIXTH AVENUE,Condominium,10,CCR,freehold,,Resale,1140.98,1779928.8,other,Jan-24
STUDIO 3,SHANGHAI ROAD,Apartment,10,CCR,freehold,,Resale,882.65,1780305.05,16 to 20,Jan-24
ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2012.0,Resale,1162.51,1726327.35,11 to 15,Jan-24
THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 years,2012.0,Resale,1108.69,1708491.29,11 to 15,Jan-24
ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,freehold,,Resale,1087.16,2275425.8800000004,01 to 05,Jan-24
ROBINSON SUITES,ROBINSON ROAD,Apartment,1,CCR,freehold,,Resale,936.47,1799895.34,06 to 10,Jan-24
EAST SHINE,LORONG MELAYU,Apartment,14,OCR,freehold,,Resale,979.52,1449689.6,01 to 05,Jan-24
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,Condominium,23,OCR,99 years,2022.0,New Sale,1033.34,2072880.04,06 to 10,Jan-24
GRAND DUNMAN,DUNMAN ROAD,Apartment,15,RCR,99 years,2022.0,New Sale,775.01,2055326.52,06 to 10,Jan-24
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,721.19,2115250.27,11 to 15,Jan-24
HILLION RESIDENCES,JELEBU ROAD,Apartment,23,OCR,99 years,2013.0,Resale,710.42,1300068.6,11 to 15,Jan-24
CONDOMINIUM DEVELOPMENT,HOLLAND ROAD,Condominium,10,CCR,freehold,,Resale,1582.31,3099745.29,01 to 05,Jan-24
PARC CENTROS,PUNGGOL CENTRAL,Condominium,19,OCR,99 years,2012.0,Resale,764.24,1144831.52,11 to 15,Jan-24
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,Sub Sale,936.47,1699693.05,06 to 10,Jan-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,Apartment,19,OCR,99 years,2018.0,Sub Sale,731.95,1368014.55,11 to 15,Jan-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 years,2007.0,Resale,570.49,1300146.71,01 to 05,Jan-24
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,861.12,1500071.04,01 to 05,Jan-24
DAKOTA RESIDENCES,DAKOTA CRESCENT,Condominium,14,RCR,99 years,2007.0,Resale,1022.58,1830418.2,16 to 20,Jan-24
THE PEAK@BALMEG,BALMEG HILL,Condominium,5,RCR,freehold,,Resale,990.29,1779551.13,01 to 05,Jan-24
