project,street,type,district,segment,tenure,commence,sale,area,price,level,date
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1689.95,3300472.35,06 to 10,Dec-24
PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 years,2011.0,Resale,430.56,640673.28,01 to 05,Dec-24
THE SHORE RESIDENCES,AMBER ROAD,Condominium,15,RCR,others,2009.0,Resale,1140.98,2658483.4,11 to 15,Dec-24
JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 years,2012.0,Resale,731.95,1234799.65,11 to 15,Dec-24
WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 years,2010.0,Resale,1184.04,1650551.76,01 to 05,Dec-24
REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,freehold,,Resale,3175.38,6998537.5200000005,21 to 25,Dec-24
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,Resale,419.8,929857.0,16 to 20,Dec-24
SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,freehold,,Resale,2314.26,4498921.44,01 to 05,Dec-24
THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 years,2011.0,Resale,1808.35,1996418.4,01 to 05,Dec-24
D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,1270.15,1949680.25,11 to 15,Dec-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 years,2007.0,Resale,1227.1,2709436.8,01 to 05,Dec-24
PANDAN VALLEY,PANDAN VALLEY,Condominium,21,RCR,freehold,,Resale,1754.53,2779175.52,06 to 10,Dec-24
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,Resale,688.9,1600314.7,01 to 05,Dec-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 years,2013.0,Resale,904.18,2224282.8,36 to 40,Dec-24
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,721.19,1150298.05,01 to 05,Dec-24
THE MIDAS,LORONG 30 GEYLANG,Apartment,14,RCR,freehold,,Resale,1410.08,1683635.52,01 to 05,Dec-24
PENROSE,SIMS DRIVE,Apartment,14,RCR,99 years,2019.0,Sub Sale,710.42,1567896.94,06 to 10,Dec-24
THE TROPICA,TAMPINES AVENUE 1,Condominium,18,OCR,99 years,1996.0,Resale,1194.8,1549655.6,06 to 10,Dec-24
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,Resale,764.24,1699669.76,11 to 15,Dec-24
FOREST WOODS,LORONG LEW LIAN,Condominium,19,OCR,99 years,2016.0,Resale,1022.58,2000166.48,06 to 10,Dec-24
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,Apartment,13,RCR,99 years,2017.0,Sub Sale,667.37,1480226.66,01 to 05,Dec-24
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,1463.9,2488630.0,01 to 05,Dec-24
MIDWOOD,HILLVIEW RISE,Condominium,23,OCR,99 years,2018.0,Resale,548.96,1050160.48,11 to 15,Dec-24
TRILIVE,TAMPINES ROAD,Condominium,19,OCR,freehold,,Resale,548.96,955739.36,01 to 05,Dec-24
NEWTON 21,NEWTON ROAD,Apartment,11,CCR,freehold,,Resale,1184.04,2699611.1999999997,06 to 10,Dec-24
CAMBIO SUITES,LIM TUA TOW ROAD,Apartment,19,OCR,freehold,,Resale,505.91,808950.0900000001,01 to 05,Dec-24
SOPHIA RESIDENCE,SOPHIA ROAD,Condominium,9,CCR,freehold,,Resale,1323.97,2800196.5500000003,06 to 10,Dec-24
THE TAPESTRY,TAMPINES STREET 86,Condominium,18,OCR,99 years,2017.0,Resale,441.32,758187.76,06 to 10,Dec-24
THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,freehold,,Resale,1894.46,3997310.6,01 to 05,Dec-24
PANDAN VALLEY,PANDAN VALLEY,Condominium,21,RCR,freehold,,Resale,2088.22,3180359.0599999996,11 to 15,Dec-24
HIGH OAK CONDOMINIUM,TOH TUCK ROAD,Condominium,21,RCR,99 years,1996.0,Resale,1420.85,1905359.85,01 to 05,Dec-24
MARINA BAY RESIDENCES,MARINA BOULEVARD,Condominium,1,CCR,99 years,2005.0,Resale,2378.84,5999434.48,21 to 25,Dec-24
RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 years,2011.0,Resale,592.02,737064.9,01 to 05,Dec-24
VANADIUM,HERTFORD ROAD,Apartment,8,RCR,freehold,,Resale,1065.64,1701827.08,01 to 05,Dec-24
LAGUNA PARK,MARINE PARADE ROAD,Apartment,15,OCR,99 years,1977.0,Resale,1453.14,1679829.84,11 to 15,Dec-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,Condominium,4,RCR,freehold,,Resale,484.38,1069995.42,16 to 20,Dec-24
BISHAN 8,BISHAN STREET 21,Condominium,20,RCR,99 years,1996.0,Resale,1162.51,1970454.45,06 to 10,Dec-24
THE MEDLEY,LORONG G TELOK KURAU,Apartment,15,OCR,freehold,,Resale,1410.08,1899377.76,01 to 05,Dec-24
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,Resale,441.32,1090060.4,31 to 35,Dec-24
OCEAN FRONT SUITES,JALAN LOYANG BESAR,Apartment,17,OCR,freehold,1937.0,Resale,409.03,660174.4199999999,01 to 05,Dec-24
