country_code,country_name,expectancy,gdp,total_health,private_health,military,hospital_beds,dpt_coverage,internet
MEX,Mexico,75.069,13830.843848864017,5.50398684,51.35569735843746,0.660371879752505,9.8,85.0,81.18318755
MKD,North Macedonia,75.31609756097562,8674.358463274853,7.42730284,42.10967386893261,1.69322815512816,42.8,86.0,88.5
MLI,Mali,60.439,1042.4422344483685,3.81316996,50.11605276373716,3.77364142226059,1.0,75.0,36.03879929
MLT,Malta,83.35609756097561,40932.52387744605,8.84301376,34.017124553567996,0.504866253628109,44.9,98.0,92.07266941
MNE,Montenegro,77.58780487804879,12258.160047733896,9.6549921,29.62303655474054,1.51875139564723,38.6,81.0,88.5515976
MNG,Mongolia,72.12243902439025,5838.6310808390235,6.07207489,51.98043210508225,0.542565742478439,80.0,96.0,83.74320221
MUS,Mauritius,73.41219512195123,11269.96844621386,5.56544495,52.76208686638626,0.14048907662346,34.0,96.0,79.5
MWI,Malawi,67.353,633.214767978695,6.53459597,21.61862735200361,1.16535783959732,13.0,91.0,17.98810346
MYS,Malaysia,76.657,11386.039563652774,3.95760036,49.939326779647075,0.9814667588590512,18.8,95.0,97.69272633
NGA,Nigeria,54.462,2138.7638371875655,4.19086456,55.45121327192146,0.8426542773651969,8.0,67.0,40.06399918
NIC,Nicaragua,74.947,2609.444911479753,8.29879284,39.1624643823317,0.554656019996368,9.3,89.0,60.30120087
NLD,Netherlands,81.86341463414635,63515.60307800192,9.83150005,32.26599413026788,1.44136515676766,31.7,92.0,97.00680272
NPL,Nepal,70.354,1382.3830089542373,6.15843678,60.89668005917481,1.07154635588773,3.0,94.0,45.80680084
NZL,New Zealand,81.75853658536587,49302.341876493,10.12947655,22.328273421782292,1.22064828880902,25.7,88.0,93.32610321
OMN,Oman,80.031,21027.73845726574,3.49047446,14.62141618717498,5.52596096461175,14.7,99.0,95.25170135
PER,Peru,77.74,7919.046348285474,5.63786411,36.34761167555174,1.23585995220031,15.9,84.0,79.48484477
PHL,Philippines,69.833,3804.08274131718,5.10122538,57.51745114017389,1.17630268153778,9.9,89.0,77.86699677
POL,Poland,78.25853658536586,22145.26606474287,7.13848782,22.788729134331003,3.2698045925311803,65.4,95.0,86.414744
PRT,Portugal,82.32926829268294,27634.6183139773,10.02761173,38.37055016546796,1.46642848168082,34.5,99.0,85.79012676
PRY,Paraguay,73.844,6303.264950172925,8.35731316,44.525340698243745,0.922071975751778,8.3,71.0,78.09481878
